trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-133.2876112178845,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-174.68433061908183,"{0: 11, 1: 6, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-151.11964754587396,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-122.2593944166358,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-102.37832057019317,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,5,-95.7775042991022,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-76.99561800170831,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-70.24656427654317,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-120.09483310168805,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-152.02402327846323,"{0: 19, 1: 6, 2: 2, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-66.22206948973914,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-84.28771691214911,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,3,-19.259136409021973,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-105.83787988258526,"{0: 18, 1: 3, 2: 0, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-89.66135350116235,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-42.69547734973002,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,0,-4.493045104482286,"{0: 31, 1: 1, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,25.59014361274229,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-20.2619268022121,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-82.69866545791393,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,4.130655601393145,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-6.197725705159175,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,9,-104.91863452257444,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 3}",1
4,True,"{'a': 0, 'e': 0}",20,0,-4.4652150815719,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-2.484131627750885,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,27.196137899789385,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,20.554522470078773,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,15,-10.799353637540468,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,19.845544723034475,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,26.256191895744788,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
