trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 1.0}",20,0,-66.84772303503384,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.02, 'e': 0.9999995}",25,0,-130.20937760902376,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.02, 'e': 0.9999985}",25,0,-148.8801481522678,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
4,False,"{'a': 0.02, 'e': 0.999997}",20,0,-132.1804081693486,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.02, 'e': 0.9999950000000001}",20,0,-196.78185755616562,"{0: 9, 1: 4, 2: 2, 3: 2, 4: 3}",0
6,False,"{'a': 0.02, 'e': 0.9999925000000001}",30,0,-195.6169740012441,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
7,False,"{'a': 0.02, 'e': 0.9999895000000001}",20,0,-55.681427275458084,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.02, 'e': 0.999986}",20,0,-95.46421643669765,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
9,False,"{'a': 0.02, 'e': 0.999982}",20,0,-27.945932629259225,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.02, 'e': 0.9999775000000001}",35,0,-74.57285994535653,"{0: 25, 1: 2, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.02, 'e': 0.9999725}",25,9,-50.09935896935977,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.02, 'e': 0.999967}",20,0,-93.01359975604119,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.02, 'e': 0.9999610000000001}",20,0,-116.32515586827633,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.02, 'e': 0.9999545000000001}",20,0,-7.193544995016051,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.02, 'e': 0.9999475000000001}",20,10,-20.53031988243347,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.02, 'e': 0.99994}",20,0,-104.993354746822,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.02, 'e': 0.999932}",20,0,-140.72735731328763,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.02, 'e': 0.9999235000000001}",20,0,-42.49192597923344,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.02, 'e': 0.9999145}",20,0,-23.530209414768173,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.02, 'e': 0.999905}",30,0,-83.49057483053134,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.02, 'e': 0.9998950000000001}",30,0,-157.20353670473204,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
22,False,"{'a': 0.02, 'e': 0.9998845000000001}",25,0,-196.79955098563676,"{0: 9, 1: 3, 2: 11, 3: 0, 4: 2}",0
23,False,"{'a': 0.02, 'e': 0.9998735000000001}",20,0,-151.60479176612293,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
24,False,"{'a': 0.02, 'e': 0.999862}",20,0,-168.4656904491313,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
25,False,"{'a': 0.02, 'e': 0.99985}",30,0,-115.23532582329811,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.02, 'e': 0.9998375}",30,0,-152.32043717523933,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
27,False,"{'a': 0.02, 'e': 0.9998245}",35,0,-148.7241305458275,"{0: 21, 1: 2, 2: 10, 3: 1, 4: 1}",0
28,False,"{'a': 0.02, 'e': 0.999811}",20,0,-132.64663510859228,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
29,False,"{'a': 0.02, 'e': 0.999797}",30,0,-156.81746080301468,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
30,False,"{'a': 0.02, 'e': 0.9997825}",25,0,-154.6289654708871,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
31,False,"{'a': 0.02, 'e': 0.9997675}",20,0,-161.5886865947705,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
32,False,"{'a': 0.02, 'e': 0.9997520000000001}",20,0,-148.3313426597178,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
33,False,"{'a': 0.02, 'e': 0.9997360000000001}",20,0,-82.27576557051617,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
34,False,"{'a': 0.02, 'e': 0.9997195000000001}",25,0,-179.0648658298273,"{0: 10, 1: 3, 2: 9, 3: 2, 4: 1}",0
35,False,"{'a': 0.02, 'e': 0.9997025}",35,0,-250.6211138236824,"{0: 17, 1: 4, 2: 9, 3: 2, 4: 3}",0
36,False,"{'a': 0.02, 'e': 0.999685}",20,0,-107.63847344924632,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
37,False,"{'a': 0.02, 'e': 0.9996670000000001}",20,0,-123.5963018918055,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
38,False,"{'a': 0.02, 'e': 0.9996485}",20,0,-93.1106787776548,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
39,False,"{'a': 0.02, 'e': 0.9996295000000001}",30,0,-172.95729008646387,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
40,False,"{'a': 0.02, 'e': 0.9996100000000001}",20,0,-121.47718077803145,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
41,False,"{'a': 0.02, 'e': 0.9995900000000001}",20,0,-105.5241981321684,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
42,False,"{'a': 0.02, 'e': 0.9995695000000001}",30,0,-134.30558327438519,"{0: 20, 1: 3, 2: 2, 3: 4, 4: 1}",0
43,False,"{'a': 0.02, 'e': 0.9995485000000001}",25,0,-214.72051407229938,"{0: 12, 1: 1, 2: 6, 3: 4, 4: 2}",0
44,False,"{'a': 0.02, 'e': 0.999527}",25,3,-77.34808202559036,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 0}",1
45,False,"{'a': 0.02, 'e': 0.9995050000000001}",20,0,-69.36070284473851,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
46,False,"{'a': 0.02, 'e': 0.9994825}",25,0,-32.77357432225201,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
47,False,"{'a': 0.02, 'e': 0.9994595000000001}",25,0,-91.22301634106692,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
48,False,"{'a': 0.02, 'e': 0.9994360000000001}",20,0,-94.64468156161806,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
49,False,"{'a': 0.02, 'e': 0.9994120000000001}",30,0,-112.99888869071475,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
50,False,"{'a': 0.02, 'e': 0.9993875000000001}",25,0,-193.10134056623966,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
51,False,"{'a': 0.02, 'e': 0.9993625}",30,0,-149.84933559317875,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
52,False,"{'a': 0.02, 'e': 0.999337}",20,0,-69.73720801226291,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
53,False,"{'a': 0.02, 'e': 0.9993110000000001}",20,0,-142.57649826333733,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
54,False,"{'a': 0.02, 'e': 0.9992845}",25,0,-308.77979733407824,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 6}",0
55,False,"{'a': 0.02, 'e': 0.9992575}",20,0,-66.42925347246464,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
56,False,"{'a': 0.02, 'e': 0.9992300000000001}",20,0,-182.8509142019891,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
57,False,"{'a': 0.02, 'e': 0.999202}",20,0,-135.56615049406682,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
58,False,"{'a': 0.02, 'e': 0.9991735}",20,0,-80.25192898908465,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
59,False,"{'a': 0.02, 'e': 0.9991445000000001}",20,0,-135.5295280515945,"{0: 7, 1: 7, 2: 3, 3: 2, 4: 1}",0
60,False,"{'a': 0.02, 'e': 0.9991150000000001}",30,0,-203.1574324997898,"{0: 14, 1: 2, 2: 11, 3: 1, 4: 2}",0
61,False,"{'a': 0.02, 'e': 0.9990850000000001}",30,18,7.993655804002974,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.02, 'e': 0.9990545000000001}",25,7,-49.89811683423218,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
63,False,"{'a': 0.02, 'e': 0.9990235000000001}",20,8,-21.78532305791614,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
64,False,"{'a': 0.02, 'e': 0.9989920000000001}",30,0,-109.80708836671484,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
65,False,"{'a': 0.02, 'e': 0.9989600000000001}",25,0,-118.27158558174972,"{0: 12, 1: 8, 2: 3, 3: 1, 4: 1}",0
66,False,"{'a': 0.02, 'e': 0.9989275000000001}",25,0,-120.6715452314602,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
67,False,"{'a': 0.02, 'e': 0.9988945000000001}",25,0,-153.4648891631569,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
68,False,"{'a': 0.02, 'e': 0.9988610000000001}",25,0,-251.6424235539426,"{0: 9, 1: 3, 2: 9, 3: 0, 4: 4}",0
69,False,"{'a': 0.02, 'e': 0.9988270000000001}",20,0,-127.93642640991624,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
70,False,"{'a': 0.02, 'e': 0.9987925000000001}",20,0,-160.97169929701215,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
71,False,"{'a': 0.02, 'e': 0.9987575000000001}",20,0,-150.1953443891258,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
72,False,"{'a': 0.02, 'e': 0.9987220000000001}",20,0,-68.88921990095824,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
73,False,"{'a': 0.02, 'e': 0.9986860000000001}",30,0,-237.09319614823175,"{0: 17, 1: 2, 2: 5, 3: 2, 4: 4}",0
74,False,"{'a': 0.02, 'e': 0.9986495000000001}",20,0,-169.28501556783917,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
75,False,"{'a': 0.02, 'e': 0.9986125000000001}",25,0,-66.827864781395,"{0: 13, 1: 8, 2: 3, 3: 1, 4: 0}",0
76,False,"{'a': 0.02, 'e': 0.9985750000000001}",20,0,-117.74516154444383,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
77,False,"{'a': 0.02, 'e': 0.9985370000000001}",30,0,-127.86352824551092,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
78,False,"{'a': 0.02, 'e': 0.9984985000000001}",30,0,-108.22020859484725,"{0: 18, 1: 6, 2: 4, 3: 1, 4: 1}",0
79,False,"{'a': 0.02, 'e': 0.9984595}",25,0,-127.29415049330703,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
80,False,"{'a': 0.02, 'e': 0.9984200000000001}",30,23,2.865787381546962,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.02, 'e': 0.99838}",30,0,-69.56141524563981,"{0: 20, 1: 6, 2: 2, 3: 2, 4: 0}",0
82,False,"{'a': 0.02, 'e': 0.9983395}",35,12,-18.106046827749097,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 0}",1
83,False,"{'a': 0.02, 'e': 0.9982985000000001}",25,0,-116.0829444277249,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
84,False,"{'a': 0.02, 'e': 0.9982570000000001}",20,0,-106.33862006832369,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
85,False,"{'a': 0.02, 'e': 0.9982150000000001}",25,0,-94.9609175028588,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
86,False,"{'a': 0.02, 'e': 0.9981725000000001}",20,0,-144.5711681530922,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
87,False,"{'a': 0.02, 'e': 0.9981295000000001}",35,0,-256.95611529236555,"{0: 17, 1: 6, 2: 6, 3: 3, 4: 3}",0
88,False,"{'a': 0.02, 'e': 0.9980860000000001}",25,0,-80.4144962169376,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
89,False,"{'a': 0.02, 'e': 0.9980420000000001}",20,0,-38.56140253533205,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
90,False,"{'a': 0.02, 'e': 0.9979975000000001}",30,0,-156.91606103400574,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
91,False,"{'a': 0.02, 'e': 0.9979525000000001}",25,0,-78.32114696548405,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
92,False,"{'a': 0.02, 'e': 0.9979070000000001}",20,0,-65.12886950174125,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
93,False,"{'a': 0.02, 'e': 0.9978610000000001}",20,0,-155.57426170958422,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
94,False,"{'a': 0.02, 'e': 0.9978145000000002}",25,0,-184.52409127351552,"{0: 14, 1: 2, 2: 3, 3: 4, 4: 2}",0
95,False,"{'a': 0.02, 'e': 0.9977675000000001}",25,0,-184.4525114760857,"{0: 9, 1: 8, 2: 5, 3: 1, 4: 2}",0
96,False,"{'a': 0.02, 'e': 0.9977200000000002}",25,0,-22.73763788714402,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
97,False,"{'a': 0.02, 'e': 0.9976720000000001}",20,0,-155.8664865183933,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
98,False,"{'a': 0.02, 'e': 0.9976235000000001}",20,0,-95.39694198789338,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
99,False,"{'a': 0.02, 'e': 0.9975745000000001}",20,0,-62.40103375136715,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
100,False,"{'a': 0.02, 'e': 0.9975250000000001}",25,0,-182.2744647478628,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
