trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 1.0}",20,0,-60.89667039165526,"{0: 12, 1: 5, 2: 1, 3: 2, 4: 0}",0
2,False,"{'a': 0.02, 'e': 0.9999995}",20,12,-25.40692683455146,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.02, 'e': 0.9999985}",25,0,-151.51592984199422,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.02, 'e': 0.999997}",25,0,-193.48611768988133,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",1
5,False,"{'a': 0.02, 'e': 0.9999950000000001}",35,1,-209.69156801332426,"{0: 18, 1: 6, 2: 6, 3: 1, 4: 3}",1
6,False,"{'a': 0.02, 'e': 0.9999925000000001}",20,0,-122.9342766338575,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.02, 'e': 0.9999895000000001}",25,0,-177.12628178568224,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.02, 'e': 0.999986}",20,0,-163.2220763496093,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.02, 'e': 0.999982}",25,0,-158.545392805914,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
10,False,"{'a': 0.02, 'e': 0.9999775000000001}",20,0,-63.932428820803345,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.02, 'e': 0.9999725}",20,0,-39.63360146694621,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.02, 'e': 0.999967}",20,0,-209.24082226219969,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
13,False,"{'a': 0.02, 'e': 0.9999610000000001}",30,0,-82.02152046570207,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.02, 'e': 0.9999545000000001}",25,18,-27.69084184395603,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.02, 'e': 0.9999475000000001}",20,0,-94.86121866701313,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.02, 'e': 0.99994}",25,0,-122.86514932511382,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.02, 'e': 0.999932}",30,0,-136.3458315069484,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.02, 'e': 0.9999235000000001}",35,0,-228.9462517612746,"{0: 20, 1: 4, 2: 7, 3: 0, 4: 4}",0
19,False,"{'a': 0.02, 'e': 0.9999145}",20,0,-28.696357925505072,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.02, 'e': 0.999905}",20,0,-166.65739657100497,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
21,False,"{'a': 0.02, 'e': 0.9998950000000001}",25,0,-88.01315403379145,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
22,False,"{'a': 0.02, 'e': 0.9998845000000001}",30,0,-158.17418314966483,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
23,False,"{'a': 0.02, 'e': 0.9998735000000001}",35,0,-232.22872893904625,"{0: 21, 1: 4, 2: 5, 3: 1, 4: 4}",0
24,False,"{'a': 0.02, 'e': 0.999862}",30,0,-262.1994082775832,"{0: 13, 1: 3, 2: 8, 3: 3, 4: 3}",0
25,False,"{'a': 0.02, 'e': 0.99985}",20,0,-168.87829134265948,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
26,False,"{'a': 0.02, 'e': 0.9998375}",30,0,-87.3265614719506,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
27,False,"{'a': 0.02, 'e': 0.9998245}",30,0,-123.84861779804368,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
28,False,"{'a': 0.02, 'e': 0.999811}",20,0,-111.5279069902003,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
29,False,"{'a': 0.02, 'e': 0.999797}",25,0,-138.22639143967152,"{0: 10, 1: 4, 2: 9, 3: 2, 4: 0}",0
30,False,"{'a': 0.02, 'e': 0.9997825}",20,0,-85.33271187236721,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
31,False,"{'a': 0.02, 'e': 0.9997675}",20,0,-49.311290934942484,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
32,False,"{'a': 0.02, 'e': 0.9997520000000001}",30,9,-20.70220855481563,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 0}",1
33,False,"{'a': 0.02, 'e': 0.9997360000000001}",20,0,-96.33554546031334,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
34,False,"{'a': 0.02, 'e': 0.9997195000000001}",20,0,-80.46121545242436,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
35,False,"{'a': 0.02, 'e': 0.9997025}",25,0,-121.01828527871608,"{0: 11, 1: 6, 2: 6, 3: 2, 4: 0}",0
36,False,"{'a': 0.02, 'e': 0.999685}",20,0,-82.05888041365908,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
37,False,"{'a': 0.02, 'e': 0.9996670000000001}",20,0,-125.19451167338616,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
38,False,"{'a': 0.02, 'e': 0.9996485}",20,0,-183.55514910234618,"{0: 10, 1: 4, 2: 1, 3: 2, 4: 3}",0
39,False,"{'a': 0.02, 'e': 0.9996295000000001}",20,0,-66.96135424431971,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
40,False,"{'a': 0.02, 'e': 0.9996100000000001}",25,0,-137.0775325931885,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
41,False,"{'a': 0.02, 'e': 0.9995900000000001}",20,0,-141.77523704902995,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.02, 'e': 0.9995695000000001}",20,0,-152.24863666789227,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
43,False,"{'a': 0.02, 'e': 0.9995485000000001}",25,0,-211.33945624504622,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
44,False,"{'a': 0.02, 'e': 0.999527}",20,0,-149.25178782611002,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
45,False,"{'a': 0.02, 'e': 0.9995050000000001}",20,11,-18.77913893508117,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.02, 'e': 0.9994825}",25,0,-152.03198193300892,"{0: 12, 1: 1, 2: 10, 3: 1, 4: 1}",0
47,False,"{'a': 0.02, 'e': 0.9994595000000001}",25,0,-95.14048143070114,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
48,False,"{'a': 0.02, 'e': 0.9994360000000001}",30,0,-160.81244763822312,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
49,False,"{'a': 0.02, 'e': 0.9994120000000001}",35,0,-201.12834059197561,"{0: 18, 1: 3, 2: 9, 3: 4, 4: 1}",0
50,False,"{'a': 0.02, 'e': 0.9993875000000001}",25,0,-106.04345237737273,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
51,False,"{'a': 0.02, 'e': 0.9993625}",25,0,-133.62201863637608,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
52,False,"{'a': 0.02, 'e': 0.999337}",30,0,-97.90180891174647,"{0: 18, 1: 5, 2: 5, 3: 2, 4: 0}",0
53,False,"{'a': 0.02, 'e': 0.9993110000000001}",20,0,-61.911652950056045,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.02, 'e': 0.9992845}",20,0,-173.45730446516976,"{0: 9, 1: 5, 2: 2, 3: 1, 4: 3}",0
55,False,"{'a': 0.02, 'e': 0.9992575}",25,0,-244.84465087219473,"{0: 9, 1: 5, 2: 7, 3: 0, 4: 4}",0
56,False,"{'a': 0.02, 'e': 0.9992300000000001}",20,0,-77.80782755308739,"{0: 14, 1: 3, 2: 0, 3: 2, 4: 1}",0
57,False,"{'a': 0.02, 'e': 0.999202}",35,0,-231.86749732904207,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 5}",0
58,False,"{'a': 0.02, 'e': 0.9991735}",20,0,-89.0094709097336,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
59,False,"{'a': 0.02, 'e': 0.9991445000000001}",20,0,-40.1960640302992,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
60,False,"{'a': 0.02, 'e': 0.9991150000000001}",25,0,-189.72782162080705,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
61,False,"{'a': 0.02, 'e': 0.9990850000000001}",20,0,-153.83839345047224,"{0: 7, 1: 3, 2: 8, 3: 1, 4: 1}",0
62,False,"{'a': 0.02, 'e': 0.9990545000000001}",25,0,-120.68308568871088,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
63,False,"{'a': 0.02, 'e': 0.9990235000000001}",20,0,-8.081667200310726,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.02, 'e': 0.9989920000000001}",25,0,-173.34755072898744,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
65,False,"{'a': 0.02, 'e': 0.9989600000000001}",20,0,-57.996506494409765,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
66,False,"{'a': 0.02, 'e': 0.9989275000000001}",25,0,-119.93509274261395,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
67,False,"{'a': 0.02, 'e': 0.9988945000000001}",25,0,-83.03818946732585,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
68,False,"{'a': 0.02, 'e': 0.9988610000000001}",30,0,-141.2808483927513,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
69,False,"{'a': 0.02, 'e': 0.9988270000000001}",20,0,-69.02882882728282,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
70,False,"{'a': 0.02, 'e': 0.9987925000000001}",25,0,-161.1831829846338,"{0: 14, 1: 6, 2: 2, 3: 0, 4: 3}",0
71,False,"{'a': 0.02, 'e': 0.9987575000000001}",20,0,-154.62835067370466,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
72,False,"{'a': 0.02, 'e': 0.9987220000000001}",20,0,-116.67361273601614,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
