trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.1}",20,0,-96.38488905199513,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.1}",20,0,-89.76688090062912,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.1}",25,0,-50.435889068172486,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.1}",20,0,-102.52885074719256,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.1}",20,0,-90.82372767260395,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.1}",25,0,-100.34140012970046,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.1}",20,0,-57.538509184104015,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.1}",25,0,-123.37067811547126,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.1}",25,0,-100.15656809900695,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.1}",20,0,-26.70591480504261,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.1}",20,2,-51.615343914086644,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.1}",25,0,-161.69383877821895,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.1}",25,0,-269.80028371859424,"{0: 10, 1: 2, 2: 5, 3: 5, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.1}",25,0,-81.85428752350832,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.1}",20,0,-98.65856373691555,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.1}",25,0,-133.53128488020803,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1}",30,0,-136.70421123549315,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.1}",20,0,-142.87538708559467,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.1}",25,0,-117.77932148557144,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.1}",20,0,-69.0589890371004,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-104.74056762876783,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-155.44006087782535,"{0: 14, 1: 2, 2: 4, 3: 4, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,0,-123.22195430890591,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-62.780785835187764,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-117.81199284014846,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-123.73865266119198,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-78.61291202662741,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-77.78270647565378,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-103.86035541884263,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-114.45301515415747,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
